km_driven,mileage,engine,max_power,seats,name_target_enc,fuel_Diesel,fuel_Petrol,seller_type_Individual,transmission_Manual
90000.0,19.33,1248.0,82.0,5.0,441764.6470588236,1,0,1,1
50000.0,15.96,2523.0,62.1,7.0,534333.2222222222,1,0,1,1
200000.0,13.1,1997.0,141.1,5.0,737500.0,0,1,1,0
2000.0,16.8,1984.0,150.0,5.0,2475000.0,1,0,0,0
110000.0,24.3,1248.0,88.5,5.0,831428.5,1,0,1,1
86000.0,17.92,1086.0,62.1,5.0,183666.64444444445,0,1,1,1
100000.0,19.5,1199.0,75.0,5.0,216666.66666666663,1,0,1,1
50000.0,19.33,1248.0,82.0,5.0,300000.0,0,0,1,1
26500.0,19.33,1248.0,82.0,5.0,291666.64705882355,0,1,1,1
300000.0,19.33,1248.0,82.0,5.0,76090.90909090909,1,0,1,1
80000.0,22.54,1396.0,88.73,5.0,426249.75,1,0,1,1
50000.0,19.34,1198.0,76.0,5.0,324200.0,0,1,1,0
11688.0,17.8,1497.0,117.3,5.0,708277.7222222222,0,1,0,1
60000.0,19.7,796.0,46.3,5.0,139112.5945945946,0,1,1,1
60000.0,16.02,1373.0,93.7,7.0,591750.0,0,1,1,1
11500.0,21.21,1197.0,81.8,5.0,485157.8947368421,0,1,1,1
56228.0,19.33,1248.0,82.0,5.0,569000.0,0,0,0,1
35000.0,19.33,1248.0,82.0,5.0,569545.4545454546,1,0,1,1
100000.0,19.33,1248.0,82.0,5.0,368750.0,1,0,1,1
35000.0,19.44,1198.0,67.0,7.0,341250.0,0,1,1,1
120000.0,12.05,2179.0,120.0,7.0,475000.0,1,0,1,1
26000.0,19.33,1248.0,82.0,5.0,0.3,0,1,1,1
40000.0,19.33,1248.0,82.0,5.0,179357.07142857142,0,1,1,1
11000.0,14.3,1598.0,103.5,5.0,628870.9677419355,0,1,0,0
59000.0,19.33,1248.0,82.0,5.0,1460000.0,1,0,0,0
97000.0,19.33,1248.0,82.0,5.0,578333.1666666666,1,0,1,1
54350.0,19.33,1248.0,82.0,5.0,183666.64444444445,0,1,0,1
120000.0,15.42,1405.0,70.0,7.0,135000.0,1,0,1,1
50000.0,18.6,1199.0,76.8,5.0,179357.07142857142,0,1,1,1
20000.0,22.37,2487.0,214.56,5.0,5150000.0,0,1,0,0
38000.0,22.07,1199.0,73.9,5.0,351055.44444444444,1,0,1,1
50000.0,17.1,1956.0,170.0,5.0,1653749.875,1,0,1,1
200000.0,19.33,1248.0,82.0,5.0,324173.82608695654,1,0,1,1
100000.0,20.77,1248.0,88.76,7.0,575666.6111111111,1,0,1,1
100000.0,17.3,993.0,60.0,5.0,76411.76470588235,0,1,1,1
20000.0,17.5,1373.0,91.1,7.0,800000.0,0,1,1,1
35000.0,18.6,1197.0,85.8,5.0,485157.8947368421,0,1,1,1
110000.0,19.33,1248.0,82.0,5.0,247368.4210526316,0,1,1,1
70000.0,22.54,1396.0,88.73,5.0,500961.5,1,0,1,1
120000.0,23.0,1396.0,90.0,5.0,350600.0,1,0,1,1
6825.0,18.0,1497.0,117.6,5.0,898333.3333333334,0,1,1,0
36000.0,19.33,1248.0,82.0,5.0,6.107857142857143,0,1,0,1
18000.0,19.33,1248.0,82.0,5.0,0.25,0,1,1,1
12586.0,19.33,1248.0,82.0,5.0,537625.0,0,1,0,1
30000.0,17.71,1197.0,78.9,5.0,300999.8,0,1,1,1
100000.0,15.3,1341.0,83.0,5.0,85500.0,0,1,1,1
42312.0,24.4,1120.0,71.0,5.0,390100.0,1,0,0,1
79328.0,12.99,2494.0,100.6,7.0,823999.9555555555,1,0,0,1
110000.0,20.77,1248.0,88.76,7.0,575666.6111111111,1,0,1,1
62000.0,21.0,1498.0,74.96,7.0,445000.0,1,0,0,1
6000.0,18.6,1197.0,81.83,5.0,555666.6111111111,0,1,1,1
60000.0,19.33,1248.0,82.0,5.0,252384.61538461535,0,1,1,1
45974.0,19.33,1248.0,82.0,5.0,776071.4285714285,1,0,0,1
70000.0,25.0,1396.0,69.0,5.0,292000.0,1,0,1,1
90000.0,23.03,1396.0,69.0,5.0,206666.66666666663,1,0,1,1
70000.0,15.9,1298.0,85.0,5.0,75000.0,0,1,1,1
47162.0,19.33,1248.0,82.0,5.0,2299736.8421052634,1,0,0,0
270000.0,21.94,1196.0,61.7,5.0,389750.0,0,0,1,1
5621.0,22.0,1197.0,81.8,5.0,650000.0,0,1,0,0
46000.0,14.24,2755.0,174.5,7.0,2950000.0,1,0,1,1
56001.0,19.33,1248.0,82.0,5.0,7.183125,0,1,0,1
60000.0,15.04,2755.0,174.5,7.0,3031250.0,1,0,1,0
90000.0,18.5,1197.0,85.8,5.0,277666.6666666667,0,1,1,1
60000.0,19.33,1248.0,82.0,5.0,139112.5945945946,0,1,1,1
48000.0,19.33,1248.0,82.0,5.0,1600000.0,1,0,0,0
81358.0,19.33,1248.0,82.0,5.0,317500.0,1,0,0,1
20000.0,19.33,1248.0,82.0,5.0,2645909.090909091,1,0,1,0
120000.0,19.33,1248.0,82.0,5.0,308102.5128205128,1,0,1,1
110000.0,22.9,1248.0,74.0,5.0,416216.843373494,1,0,1,1
50000.0,26.6,998.0,58.16,5.0,308882.29411764705,0,0,1,1
170000.0,19.33,1248.0,82.0,5.0,507083.3333333333,1,0,0,1
5000.0,19.33,1248.0,82.0,5.0,247941.93129770996,0,1,1,1
